Serial2,F05_01,F05_01_ENG,F05_02,F05_02 ENG,F05_03,F05_04,F12,F13,F15,F15 ENG,F16,F16 ENG,F20,F21,F30,F30 ENG,F31_01,F31_01_ENG,F31_02,F31_02_ENG,F31_03,F31_03_ENG,F31_04,F31_04_ENG,F31_05,F31_05_ENG,F31_06,F31_06_ENG,F31_07,F31_07_ENG,F31_08,F31_08_ENG,F32,F33,hFerienDauer,hGruppePersonen,F80,F80_a05,F81_01,F81_02,F81_03,F81_04,F81_05,F81_06,F81_Total,F82_01,F82_02,F82_03,F82_04,F82_05,F82_06,F82_07,F82_Total,F83,F85,F105,F105A,F105_Code,F105_Code_nr,F105_OrgCode,F125,F125_ENG,F125_a11,F125_a11 ENG,F130,F130_a07,F135_01,F12_F13_Mittelwert_2Cat_final
99,Europa,Europe,Frankreich,France,Île-de-France,,10.11.2022,20.11.2022,Herbst,Autumn,Rundreise nur innerhalb der Schweiz (mehrere Übernachtungsorte in der Schweiz),Round trip only within Switzerland (several overnight locations in Switzerland),4,,Nein,Non,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,2,,11,2,€,,200,200,200,0,0,100,700,,,,,,,,,,Ja,Lausanne,,Lausanne,253,Lausanne Tourisme,Andere,Other,Ami,Friend,,,3,Winter
134,Europa,Europe,Schweiz,Switzerland,Waadt,,15.12.2022,17.12.2022,Winter,Winter,Ferien mit nur einem Übernachtungsort in der Schweiz,Holidays with only one overnight stay in Switzerland,,,Nein,Non,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,2,,3,2,CHF,,179,0,30,0,0,0,209,,,,,,,,,,Ja,Leysin,,Leysin,7,Aigle-Leysin-Les Mosses,Hotel / Kurhaus,Hotel / Spa House,,,***,,3,Winter
162,Europa,Europe,Schweiz,Switzerland,Luzern,,03.12.2022,04.12.2022,Winter,Winter,Ferien mit nur einem Übernachtungsort in der Schweiz,Holidays with only one overnight stay in Switzerland,,,Nein,Non,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,2,,2,2,CHF,,0,0,0,0,0,0,0,,,,,,,,,,Ja,Montreux,,Montreux,289,Montreux Riviera,Hotel / Kurhaus,Hotel / Spa House,,,***,,2,Winter
234,Europa,Europe,Schweiz,Switzerland,Genf,,31.12.2022,02.01.2023,Winter,Winter,Rundreise nur innerhalb der Schweiz (mehrere Übernachtungsorte in der Schweiz),Round trip only within Switzerland (several overnight locations in Switzerland),2,,Nein,Non,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,2,,3,2,CHF,,250,50,250,0,0,0,550,,,,,,,,,,Ja,Le Chenit,,Le Chenit,756,Vallée de Joux,Hotel / Kurhaus,Hotel / Spa House,,,***,,2,Winter
275,Afrika,Africa,Marokko,Morocco,,,13.12.2022,16.12.2022,Herbst,Autumn,Ferien mit nur einem Übernachtungsort in der Schweiz,Holidays with only one overnight stay in Switzerland,,,Nein,Non,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,1,,4,1,CHF,,300,40,40,20,0,0,400,,,,,,,,,,Ja,Lausanne,,Lausanne,253,Lausanne Tourisme,Hotel / Kurhaus,Hotel / Spa House,,,*,,4,Winter
400,Nord- und Mittelamerika,North and Central America,Vereinigte Staaten von Amerika,United States of America,California,,06.11.2022,12.11.2022,Winter,Winter,Rundreise durch Europa: mehrere Übernachtungsorte in der Schweiz,Round trip through Europe: several places to stay in Switzerland,2,20,Nein,Non,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,1,,7,1,$,,50,200,350,0,200,300,1100,,,,,,,,,,Ja,Lausanne,,Lausanne,253,Lausanne Tourisme,Andere,Other,Friend’s house,Friend’s house,,,8,Winter
492,Asien,Asia,Singapur,Singapore,South East,,13.12.2022,16.12.2022,Winter,Winter,Ferien mit nur einem Übernachtungsort in der Schweiz,Holidays with only one overnight stay in Switzerland,,,Nein,Non,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,6,,4,6,CHF,,2000,0,1500,0,0,0,3500,,,,,,,,,,Ja,Lausanne,,Lausanne,253,Lausanne Tourisme,Andere,Other,Day trip from Zurich,Day trip from Zurich,,,4,Winter
580,Europa,Europe,Frankreich,France,Bretagne,,10.11.2022,13.11.2022,Herbst,Autumn,Ferien mit nur einem Übernachtungsort in der Schweiz,Holidays with only one overnight stay in Switzerland,,,Nein,Non,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,3,,4,3,€,,220,90,80,0,0,0,390,,,,,,,,,,Ja,Lausanne,,Lausanne,253,Lausanne Tourisme,Gemietete Wohnung / Haus,Rented apartment / house,,,,,4,Winter
628,Europa,Europe,Deutschland,Germany,Baden-Württemberg,,19.01.2023,25.01.2023,Winter,Winter,Ferien mit nur einem Übernachtungsort in der Schweiz,Holidays with only one overnight stay in Switzerland,,,Nein,Non,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,2,,7,2,CHF,,0,120,100,0,50,180,450,,,,,,,,,,Ja,Les Diablerets,,Les Diablerets,#N/A,Villars-Diablerets-Gryon-Bex,Berghütte / SAC,Mountain hut / SAC,,,,,7,Winter
669,Asien,Asia,China,China,Shanghai,,03.01.2023,05.01.2023,Winter,Winter,Rundreise durch Europa: mehrere Übernachtungsorte in der Schweiz,Round trip through Europe: several places to stay in Switzerland,1,2,Nein,Non,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,1,,3,1,CHF,,250,150,50,0,0,50,500,,,,,,,,,,Ja,Lausanne,,Lausanne,253,Lausanne Tourisme,Hotel / Kurhaus,Hotel / Spa House,,,Ohne Kategorie,,1,Winter
760,Asien,Asia,Singapur,Singapore,North East,,27.11.2022,07.12.2022,Winter,Winter,Rundreise nur innerhalb der Schweiz (mehrere Übernachtungsorte in der Schweiz),Round trip only within Switzerland (several overnight locations in Switzerland),2,,Nein,Non,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,2,,11,2,CHF,,1500,500,300,700,0,0,3000,,,,,,,,,,Ja,Lausanne,,Lausanne,253,Lausanne Tourisme,Hotel / Kurhaus,Hotel / Spa House,,,*****,,8,Winter
823,Europa,Europe,Schweiz,Switzerland,Waadt,,09.12.2022,11.12.2022,Herbst,Autumn,Ferien mit nur einem Übernachtungsort in der Schweiz,Holidays with only one overnight stay in Switzerland,,,Nein,Non,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft zu,Applies,Trifft zu,Applies,Trifft zu,Applies,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,,2,3,2,Andere,150frs,250,60,150,40,0,0,500,,,,,,,,,,Ja,Morges,,Morges,295,Morges Région,Andere,Other,Ma maison,house,,,3,Winter
834,Europa,Europe,Schweiz,Switzerland,Waadt,,24.12.2022,07.01.2023,Winter,Winter,Ferien mit nur einem Übernachtungsort in der Schweiz,Holidays with only one overnight stay in Switzerland,,,Nein,Non,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,5,,15,5,CHF,,1500,0,700,0,2000,500,4700,,,,,,,,,,Ja,Les Diablerets,,Les Diablerets,#N/A,Villars-Diablerets-Gryon-Bex,Hotel / Kurhaus,Hotel / Spa House,,,****,,15,Winter
965,Nord- und Mittelamerika,North and Central America,Vereinigte Staaten von Amerika,United States of America,California,,20.01.2023,23.01.2023,Winter,Winter,Ferien mit nur einem Übernachtungsort in der Schweiz,Holidays with only one overnight stay in Switzerland,,,Nein,Non,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,1,,4,1,CHF,,0,80,200,20,0,0,300,,,,,,,,,,Ja,Morges,,Morges,295,Morges Région,Andere,Other,Staying with family,Staying with family,,,4,Winter
1009,Australien und Ozeanien,Australia and Oceania,Neukaledonien,New Caledonia,,,16.01.2023,24.01.2023,Winter,Winter,Ferien mit nur einem Übernachtungsort in der Schweiz,Holidays with only one overnight stay in Switzerland,,,Nein,Non,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft zu,Applies,Trifft zu,Applies,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,4,,9,4,Andere,Franc pacifique,0,50000,40000,30000,0,0,120000,,,,,,,,,,Ja,Saint-Légier-La-Chiésaz,,Saint-Légier-La-Chiésaz,#N/A,Montreux Riviera,Kostenlose Wohnung/Haus (eigene oder von Freunden / Verwandten etc.),Free apartment/house (own or from friends / relatives etc.),,,,,9,Winter
1098,Asien,Asia,Thailand,Thailand,Bangkok,,25.11.2022,05.12.2022,Winter,Winter,Rundreise nur innerhalb der Schweiz (mehrere Übernachtungsorte in der Schweiz),Round trip only within Switzerland (several overnight locations in Switzerland),4,,Nein,Non,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,2,,11,2,CHF,,2000,700,1000,1000,0,0,4700,,,,,,,,,,Ja,Montreux,,Montreux,289,Montreux Riviera,Hotel / Kurhaus,Hotel / Spa House,,,*****,,3,Winter
1116,Asien,Asia,Malaysia,Malaysia,Kuala Lumpur,,21.01.2023,03.02.2023,Winter,Winter,Rundreise nur innerhalb der Schweiz (mehrere Übernachtungsorte in der Schweiz),Round trip only within Switzerland (several overnight locations in Switzerland),4,,Nein,Non,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,7,,14,7,CHF,,600,200,500,4000,0,0,5300,,,,,,,,,,Ja,Bex,,Bex,670,Villars-Diablerets-Gryon-Bex,Kostenlose Wohnung/Haus (eigene oder von Freunden / Verwandten etc.),Free apartment/house (own or from friends / relatives etc.),,,,,0,Winter
1157,Nord- und Mittelamerika,North and Central America,Mexiko,Mexico,Queretaro,,04.02.2023,15.03.2023,Winter,Winter,Rundreise nur innerhalb der Schweiz (mehrere Übernachtungsorte in der Schweiz),Round trip only within Switzerland (several overnight locations in Switzerland),4,,Nein,Non,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,1,,40,1,CHF,,2000,700,1500,200,0,0,4400,,,,,,,,,,Ja,Montreux,,Montreux,289,Montreux Riviera,Bed & Breakfast,Bed & Breakfast,,,,,15,Winter
1199,Europa,Europe,Spanien,Spain,Catalunya,,06.12.2022,11.12.2022,Winter,Winter,Ferien mit nur einem Übernachtungsort in der Schweiz,Holidays with only one overnight stay in Switzerland,,,Nein,Non,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,3,,6,3,€,,1200,80,800,300,0,0,2380,,,,,,,,,,Ja,Montreux,,Montreux,289,Montreux Riviera,Gemietete Wohnung / Haus,Rented apartment / house,,,,,6,Winter
