"Serial2","F05_01","F05_01.ENG","F05_02","F05_02.ENG","F05_03","F05_04","F12","F13","F15","F15.ENG","F16","F16.ENG","F17","F20","F21","F30","F30.ENG","F31_01","F31_01_ENG","F31_02","F31_02_ENG","F31_03","F31_03_ENG","F31_04","F31_04_ENG","F31_05","F31_05_ENG","F31_06","F31_06_ENG","F31_07","F31_07_ENG","F31_08","F31_08_ENG","F31_09","F32","F33","hFerienDauer","hGruppePersonen","F80","F80_a05","F81_01","F81_02","F81_03","F81_04","F81_05","F81_06","F81_Total","F82_01","F82_02","F82_03","F82_04","F82_05","F82_06","F82_07","F82_Total","F83","F85","F105","F105A","F105_Code","F105_Code_nr","F105_OrgCode","F125","F125_ENG","F125_a11","F125_a11.ENG","F130","F130_a07","F135_01","F12_F13_Mittelwert_2Cat_final","leaflet_districts","leaflet_region"
13236,"Asien","Asia","Indien","India","Maharashtra","","21.06.23","06.07.23","Sommer","Summer","Rundreise nur innerhalb der Schweiz (mehrere Übernachtungsorte in der Schweiz)","Round trip only within Switzerland (several overnight locations in Switzerland)",NA,4,NA,"Nein","Non","Trifft nicht zu","Not applicable","Trifft zu","Applies","Trifft nicht zu","Not applicable","Trifft zu","Applies","Trifft zu","Applies","Trifft nicht zu","Not applicable","Trifft nicht zu","Not applicable","Trifft nicht zu","Not applicable",NA,"9","",16,"9","Andere","INR",1500000,500000,200000,200000,200000,500000,3100000,NA,NA,NA,NA,NA,NA,NA,NA,"","Ja","Lausanne","","Lausanne",253,"Lausanne Tourisme","Hotel / Kurhaus","Hotel / Spa House","","","****","",2,"Summer","Lausanne","Lausanne"
16000,"Asien","Asia","Taiwan","Taiwan","Taipei","","01.07.23","21.07.23","Sommer","Summer","Rundreise durch Europa: nur ein Übernachtungsort in der Schweiz","Round trip through Europe: only one overnight stay in Switzerland",NA,NA,20,"Nein","Non","Trifft nicht zu","Not applicable","Trifft zu","Applies","Trifft zu","Applies","Trifft zu","Applies","Trifft zu","Applies","Trifft nicht zu","Not applicable","Trifft nicht zu","Not applicable","Trifft nicht zu","Not applicable",NA,"7","",21,"7","Andere","?? NTW",1000000,0,1000000,1000000,100000,100000,3200000,NA,NA,NA,NA,NA,NA,NA,NA,"","Ja","Montreux (???)","","Montreux",289,"Montreux Riviera","Gemietete Wohnung / Haus","Rented apartment / house","","","","",7,"Summer","Riviera-Pays-d'Enhaut","Riviera-Pays-d'Enhaut"
12212,"Asien","Asia","Malaysia","Malaysia","Selangor","","28.04.23","13.05.23","Frühling","Spring","Rundreise durch Europa: mehrere Übernachtungsorte in der Schweiz","Round trip through Europe: several places to stay in Switzerland",NA,5,11,"Nein","Non","Trifft nicht zu","Not applicable","Trifft nicht zu","Not applicable","Trifft zu","Applies","Trifft nicht zu","Not applicable","Trifft zu","Applies","Trifft nicht zu","Not applicable","Trifft nicht zu","Not applicable","Trifft nicht zu","Not applicable",NA,"26+","",16,"26+","Andere","Malaysian Ringgit",510000,91000,78000,0,15000,0,694000,NA,NA,NA,NA,NA,NA,NA,NA,"","Ja","Montreux","","Montreux",289,"Montreux Riviera","Andere","Other","We did not stay in Montreux.","We did not stay in Montreux.","","",0,"Summer","Riviera-Pays-d'Enhaut","Riviera-Pays-d'Enhaut"
12703,"Asien","Asia","Indien","India","Maharashtra","","22.05.23","01.06.23","Sommer","Summer","Rundreise nur innerhalb der Schweiz (mehrere Übernachtungsorte in der Schweiz)","Round trip only within Switzerland (several overnight locations in Switzerland)",NA,5,NA,"Nein","Non","Trifft nicht zu","Not applicable","Trifft nicht zu","Not applicable","Trifft nicht zu","Not applicable","Trifft nicht zu","Not applicable","Trifft zu","Applies","Trifft nicht zu","Not applicable","Trifft nicht zu","Not applicable","Trifft nicht zu","Not applicable",NA,"3","",11,"3","Andere","Rupees",300000,200000,50000,30000,20000,100000,700000,NA,NA,NA,NA,NA,NA,NA,NA,"","Ja","Montreux","","Montreux",289,"Montreux Riviera","Hotel / Kurhaus","Hotel / Spa House","","","****","",2,"Summer","Riviera-Pays-d'Enhaut","Riviera-Pays-d'Enhaut"
10651,"Asien","Asia","Malaysia","Malaysia","Kuala Lumpur","","28.04.23","11.05.23","Frühling","Spring","Rundreise durch Europa: mehrere Übernachtungsorte in der Schweiz","Round trip through Europe: several places to stay in Switzerland",NA,6,13,"Nein","Non","Trifft nicht zu","Not applicable","Trifft zu","Applies","Trifft zu","Applies","Trifft nicht zu","Not applicable","Trifft zu","Applies","Trifft zu","Applies","Trifft nicht zu","Not applicable","Trifft nicht zu","Not applicable",NA,"","14",14,"14","Andere","Malaysia Ringgit",200000,5000,5000,1000,0,0,211000,NA,NA,NA,NA,NA,NA,NA,NA,"","Ja","Montreux","","Montreux",289,"Montreux Riviera","Hotel / Kurhaus","Hotel / Spa House","","","***","",2,"Summer","Riviera-Pays-d'Enhaut","Riviera-Pays-d'Enhaut"
10719,"Asien","Asia","Malaysia","Malaysia","Selangor","","02.05.23","13.05.23","Frühling","Spring","Rundreise durch Europa: mehrere Übernachtungsorte in der Schweiz","Round trip through Europe: several places to stay in Switzerland",NA,5,17,"Nein","Non","Trifft nicht zu","Not applicable","Trifft nicht zu","Not applicable","Trifft zu","Applies","Trifft nicht zu","Not applicable","Trifft nicht zu","Not applicable","Trifft nicht zu","Not applicable","Trifft nicht zu","Not applicable","Trifft nicht zu","Not applicable",NA,"25","",12,"25","Andere","Malaysian Ringgit ,RM",150000,87500,100000,25000,7500,6000,376000,NA,NA,NA,NA,NA,NA,NA,NA,"","Ja","Montreux","Rhine Falls, Stein am Rhein, Zurich, Mainau Island, Basel, Zermatt, Grimentz, Interlaken, Spiez ,Tasch, Grindelwald,  Jungfrajoch, Thun, Brienz","Montreux",289,"Montreux Riviera","","#N/A","","","","",NA,"Summer","Riviera-Pays-d'Enhaut","Riviera-Pays-d'Enhaut"
12318,"Asien","Asia","Taiwan","Taiwan","Taipei","","01.03.15","01.03.24","Frühling","Spring","Rundreise nur innerhalb der Schweiz (mehrere Übernachtungsorte in der Schweiz)","Round trip only within Switzerland (several overnight locations in Switzerland)",NA,5,NA,"Nein","Non","Trifft zu","Applies","Trifft nicht zu","Not applicable","Trifft nicht zu","Not applicable","Trifft nicht zu","Not applicable","Trifft nicht zu","Not applicable","Trifft nicht zu","Not applicable","Trifft nicht zu","Not applicable","Trifft nicht zu","Not applicable",NA,"1","",3289,"1","CHF","",137160,10000,100000,0,0,0,247160,NA,NA,NA,NA,NA,NA,NA,NA,"","Ja","Morges (???)","","Morges",295,"Morges Région","Gemietete Wohnung / Haus","Rented apartment / house","","","","",0,"Winter","Morges","Morges"
11307,"Asien","Asia","Indien","India","Delhi","","11.05.23","21.05.23","Frühling","Spring","Rundreise nur innerhalb der Schweiz (mehrere Übernachtungsorte in der Schweiz)","Round trip only within Switzerland (several overnight locations in Switzerland)",NA,4,NA,"Nein","Non","Trifft nicht zu","Not applicable","Trifft zu","Applies","Trifft nicht zu","Not applicable","Trifft nicht zu","Not applicable","Trifft nicht zu","Not applicable","Trifft nicht zu","Not applicable","Trifft nicht zu","Not applicable","Trifft nicht zu","Not applicable",NA,"2","",11,"2","Andere","INR",45000,10000,50000,20000,50000,10000,185000,NA,NA,NA,NA,NA,NA,NA,NA,"","Ja","Lausanne","","Lausanne",253,"Lausanne Tourisme","Hotel / Kurhaus","Hotel / Spa House","","","***","",2,"Summer","Lausanne","Lausanne"
20736,"Asien","Asia","Malaysia","Malaysia","Labuan","","06.09.23","15.09.23","Sommer","Summer","Rundreise durch Europa: mehrere Übernachtungsorte in der Schweiz","Round trip through Europe: several places to stay in Switzerland",NA,4,7,"Nein","Non","Trifft nicht zu","Not applicable","Trifft zu","Applies","Trifft nicht zu","Not applicable","Trifft nicht zu","Not applicable","Trifft zu","Applies","Trifft zu","Applies","Trifft nicht zu","Not applicable","Trifft nicht zu","Not applicable",NA,"","26+",10,"26+","CHF","",43000,0,43000,2000,20000,0,108000,NA,NA,NA,NA,NA,NA,NA,NA,"","Ja","Lausanne","","Lausanne",253,"Lausanne Tourisme","Gruppenunterkunft","Group accommodation","","","","",0,"Summer","Lausanne","Lausanne"
1647,"Südamerika","South America","Brasilien","Brazil","Sao Paulo","","10.12.22","25.12.22","Winter","Winter","Rundreise durch Europa: mehrere Übernachtungsorte in der Schweiz","Round trip through Europe: several places to stay in Switzerland",NA,8,15,"Nein","Non","Trifft nicht zu","Not applicable","Trifft zu","Applies","Trifft zu","Applies","Trifft zu","Applies","Trifft nicht zu","Not applicable","Trifft nicht zu","Not applicable","Trifft nicht zu","Not applicable","Trifft nicht zu","Not applicable",NA,"21","",16,"21","CHF","",35000,20000,10000,2000,1000,0,68000,NA,NA,NA,NA,NA,NA,NA,NA,"","Ja","Montreux","","Montreux",289,"Montreux Riviera","Hotel / Kurhaus","Hotel / Spa House","","","*****","",3,"Winter","Riviera-Pays-d'Enhaut","Riviera-Pays-d'Enhaut"
